before_before_rse_id,before_rse_id,rse_id,frequency
RSE7359,RSE1515,,1220
RSE1607,RSE7196,,1196
RSE7196,RSE1607,,1086
RSE1515,RSE7359,,1065
RSE1517,RSE1515,,991
RSE7067,RSE7056,,989
RSE1501,RSE8102,,955
RSE7056,RSE7104,,950
RSE1505,RSE1508,,880
RSE8103,RSE1501,,875
RSE1517,RSE1519,,855
RSE1505,RSE8103,,841
RSE1515,RSE1517,,805
RSE7359,RSE1511,,761
RSE1511,RSE1508,,745
RSE1508,RSE1511,,738
RSE1501,RSE8103,,722
RSE7105,RSE7056,,685
RSE1508,RSE1505,,669
RSE1504,RSE8102,,667
RSE7157,RSE8103,,665
RSE1511,RSE7359,,651
RSE8103,RSE7157,,617
RSE8103,RSE1505,,593
RSE7056,RSE7067,,537
RSE8102,RSE1501,,506
RSE7104,RSE8103,,495
RSE8102,RSE1504,,495
RSE1513,RSE1607,,452
RSE7104,RSE7157,,450
RSE7359,RSE1607,,444
RSE1607,RSE7359,,427
RSE8102,RSE8099,,419
RSE7056,RSE7105,,394
RSE7104,RSE7056,,379
RSE7104,RSE7105,,332
RSE1513,RSE7359,,311
RSE1505,RSE1503,,286
RSE7105,RSE7104,,266
RSE8103,RSE7104,,255
RSE1607,RSE1513,,244
RSE7157,RSE7104,,240
RSE1512,RSE1513,,236
RSE1505,RSE1504,,231
RSE7157,RSE1505,,180
RSE1508,RSE7359,,152
RSE1504,RSE1505,,141
RSE8102,RSE8103,,133
RSE1505,RSE7104,,114
RSE7359,RSE1513,,113
RSE1513,RSE1512,,108
RSE1504,RSE1503,,108
RSE7359,RSE1517,,78
RSE1511,RSE1505,,74
RSE7104,RSE1505,,68
RSE1515,RSE1519,,68
RSE8103,RSE8102,,61
RSE1607,RSE1511,,51
RSE8103,RSE7105,,51
RSE1501,RSE1504,,49
RSE1501,RSE8099,,37
RSE1505,RSE7157,,36
RSE1607,RSE1512,,32
RSE1513,RSE1515,,26
RSE1505,RSE1501,,20
RSE8103,RSE1508,,20
RSE1508,RSE8103,,20
RSE7105,RSE8103,,20
RSE7067,RSE7104,,20
RSE1508,RSE7104,,17
RSE7359,RSE1519,,17
RSE1501,RSE1505,,15
RSE1515,RSE1607,,14
RSE1504,RSE1512,,14
RSE1515,RSE1511,,13
RSE1501,RSE7157,,13
RSE7359,RSE1512,,13
RSE1504,RSE1501,,13
RSE7104,RSE7067,,12
RSE1504,RSE8099,,10
RSE7105,RSE7067,,10
RSE8102,RSE7105,,9
RSE7359,RSE1508,,9
RSE1504,RSE1508,,9
RSE7067,RSE7105,,8
RSE1508,RSE1504,,8
RSE1512,RSE1504,,8
RSE7056,RSE1505,,8
RSE1501,RSE7105,,7
RSE1508,RSE7056,,7
RSE7056,RSE8103,,7
RSE1511,RSE1515,,7
RSE1505,RSE7056,,7
RSE7196,RSE7359,,6
RSE8103,RSE7056,,6
RSE7359,RSE1505,,6
RSE1517,RSE7359,,6
RSE1607,RSE1515,,6
RSE7359,RSE7196,,6
RSE1512,RSE1607,,6
RSE8103,RSE1504,,6
RSE1505,RSE1511,,5
RSE8103,RSE1503,,5
RSE1512,RSE7359,,4
RSE1515,RSE1513,,4
RSE1513,RSE1517,,4
RSE8102,RSE1503,,4
RSE1513,RSE7196,,4
RSE1501,RSE7104,,4
RSE7104,RSE1501,,4
RSE1505,RSE7359,,3
RSE7196,RSE1511,,3
RSE1511,RSE7104,,3
RSE7157,RSE1501,,3
RSE1505,RSE7105,,3
RSE1511,RSE8103,,3
RSE1504,RSE1513,,2
RSE1607,RSE1508,,2
RSE8103,RSE8099,,2
RSE1508,RSE7157,,2
RSE1607,RSE1517,,2
RSE1504,RSE1519,,2
RSE1505,RSE8102,,2
RSE7056,RSE7157,,2
RSE7196,RSE8103,,2
RSE7104,RSE7359,,2
RSE8102,RSE1505,,2
RSE7104,RSE1504,,1
RSE1513,RSE1519,,1
RSE1508,RSE1607,,1
RSE1501,RSE7056,,1
RSE7157,RSE1503,,1
RSE7105,RSE8102,,1
RSE8102,RSE1513,,1
RSE7157,RSE8099,,1
RSE7104,RSE8099,,1
RSE7056,RSE1501,,1
RSE7056,RSE8102,,1
RSE1512,RSE1501,,1
RSE1508,RSE1515,,1
RSE1607,RSE1519,,1
RSE1511,RSE1513,,1
RSE1508,RSE1513,,1
RSE7157,RSE1517,,1
RSE8102,RSE7056,,1
