VDS 아이디,VDS 구간 아이디,검지기 아이디
vds_id,vds_sectn_id,detr_id
VDS0022,VL1860000025,DET002201
VDS0022,VL1860000025,DET002202
VDS0022,VL1860000025,DET002203
VDS0022,VL1860000025,DET002204
VDS0022,VL1860000025,DET002205
VDS0023,VL1860000026,DET002301
VDS0023,VL1860000026,DET002302
VDS0023,VL1860000026,DET002303
VDS0023,VL1860000026,DET002304
VDS0023,VL1860000026,DET002305
VDS0023,VL1860000026,DET002306
VDS0103,VL1880000203,DET010301
VDS0103,VL1880000203,DET010302
VDS0103,VL1880000203,DET010303
VDS0103,VL1880000203,DET010304
VDS0104,VL1880000204,DET010401
VDS0104,VL1880000204,DET010402
VDS0104,VL1880000204,DET010403
VDS0104,VL1880000204,DET010404
VDS0107,VL1880000207,DET010701
VDS0107,VL1880000207,DET010702
VDS0107,VL1880000207,DET010703
VDS0108,VL1880000208,DET010801
VDS0108,VL1880000208,DET010802
VDS0108,VL1880000208,DET010803
VDS0108,VL1880000208,DET010804
VDS0108,VL1880000208,DET010805
VDS0109,VL1880000209,DET010901
VDS0109,VL1880000209,DET010902
VDS0109,VL1880000209,DET010903
VDS0109,VL1880000209,DET010904
VDS0110,VL1880000210,DET011001
VDS0110,VL1880000210,DET011002
VDS0110,VL1880000210,DET011003
VDS0110,VL1880000210,DET011004
VDS0112,VL1880000213,DET011201
VDS0112,VL1880000213,DET011202
VDS0112,VL1880000213,DET011203
VDS0112,VL1880000213,DET011204
VDS0112,VL1880000213,DET011205
VDS0113,VL1880000214,DET011301
VDS0113,VL1880000214,DET011302
VDS0113,VL1880000214,DET011303
VDS0113,VL1880000214,DET011304
VDS0113,VL1880000214,DET011305
VDS0123,VL1880000229,DET012301
VDS0123,VL1880000229,DET012302
VDS0123,VL1880000229,DET012303
VDS0123,VL1880000229,DET012304
VDS0124,VL1880000230,DET012401
VDS0124,VL1880000230,DET012402
VDS0124,VL1880000230,DET012403
VDS0124,VL1880000230,DET012404
