,rse_id,node_nm,latitude,longitude
0,RSE1501,계룡로132번길,36.35287005,127.3450559
1,RSE1503,유성생명과학고등학교삼거리,36.34838311,127.3307907
2,RSE1504,진터지하차도,36.34835572,127.3405407
3,RSE1505,도안호반베르디움201동삼거리,36.34869141,127.3478138
4,RSE1508,원신흥북로종점,36.341812,127.347094
5,RSE1511,원신흥로입구,36.33949898,127.348894
6,RSE1512,도로교통공단대전충남지부앞,36.332421,127.333091
7,RSE1513,위더스타워네거리,36.33198127,127.3385757
8,RSE1515,옥녀봉삼거리,36.325866,127.348349
9,RSE1517,도안동로입구,36.321167,127.348261
10,RSE1519,도안계룡리슈빌,36.317366,127.348317
11,RSE1607,도솔네거리,36.334544,127.36794
12,RSE7056,갑천네거리,36.36497985,127.3688543
13,RSE7067,강변아파트삼거리,36.36819454,127.3733857
14,RSE7104,월평초교삼거리,36.3560317,127.3570383
15,RSE7105,갑천대교네거리,36.35871541,127.3598975
16,RSE7157,만년교네거리,36.35071847,127.3514407
17,RSE7196,안골네거리,36.33399461,127.3720303
18,RSE7359,옥녀봉네거리,36.33207886,127.347823
19,RSE8099,리베라네거리,36.35433534,127.3387753
20,RSE8102,유성네거리,36.35324983,127.3417161
21,RSE8103,용반네거리,36.3520523,127.3482089
22,RSE7192,월평삼거리,36.353386,127.358333
